satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,sales,salary,left
0.44,0.56,2,133,3,No accident,No promotion,technical,medium,Yes
0.11,0.77,6,247,4,No accident,No promotion,technical,medium,Yes
0.79,0.93,5,268,5,No accident,No promotion,technical,medium,Yes
0.8,0.9,5,267,5,No accident,No promotion,technical,medium,Yes
0.1,0.87,7,251,5,No accident,No promotion,technical,low,Yes
0.09,0.93,6,279,4,No accident,No promotion,technical,low,Yes
0.7,0.84,6,161,4,No accident,No promotion,technical,low,Yes
0.72,0.84,4,256,5,No accident,No promotion,technical,low,Yes
0.11,0.8,6,304,4,No accident,No promotion,technical,low,Yes
0.39,0.51,2,137,3,No accident,No promotion,technical,low,Yes
0.4,0.49,2,144,3,No accident,No promotion,support,low,Yes
0.43,0.54,2,142,3,No accident,No promotion,support,low,Yes
0.76,0.87,5,262,5,No accident,No promotion,support,low,Yes
0.4,0.48,2,142,3,No accident,No promotion,support,low,Yes
0.09,0.89,6,282,4,No accident,No promotion,support,low,Yes
0.37,0.54,2,157,3,No accident,No promotion,support,low,Yes
0.87,0.91,5,228,5,No accident,No promotion,support,low,Yes
0.1,0.86,6,283,4,No accident,No promotion,support,low,Yes
0.11,0.86,6,286,4,No accident,No promotion,support,low,Yes
0.43,0.5,2,148,3,No accident,No promotion,support,low,Yes
0.1,0.81,6,245,4,No accident,No promotion,support,low,Yes
0.11,0.95,6,279,4,No accident,No promotion,technical,low,Yes
0.85,0.87,5,245,5,No accident,No promotion,technical,low,Yes
0.37,0.49,2,138,3,No accident,No promotion,technical,low,Yes
0.44,0.52,2,141,3,No accident,No promotion,management,low,Yes
0.1,0.83,7,302,5,No accident,No promotion,IT,medium,Yes
0.11,0.89,6,268,4,No accident,No promotion,IT,medium,Yes
0.87,0.88,5,240,5,No accident,No promotion,IT,medium,Yes
0.39,0.49,2,127,3,No accident,No promotion,IT,medium,Yes
0.1,0.94,7,264,4,No accident,No promotion,IT,medium,Yes
0.44,0.53,2,155,3,No accident,No promotion,product_mng,medium,Yes
0.4,0.49,2,143,3,No accident,No promotion,product_mng,medium,Yes
0.76,0.98,5,217,6,No accident,No promotion,product_mng,medium,Yes
0.46,0.55,2,147,3,No accident,No promotion,product_mng,medium,Yes
0.9,0.92,4,271,5,No accident,No promotion,IT,medium,Yes
0.85,0.87,4,273,5,No accident,No promotion,RandD,medium,Yes
0.1,0.78,5,285,4,Accident,No promotion,RandD,medium,Yes
0.43,0.49,2,131,3,No accident,No promotion,RandD,high,Yes
0.2,0.5,5,135,6,No accident,No promotion,RandD,low,Yes
0.81,0.92,5,239,5,No accident,No promotion,RandD,medium,Yes
0.83,0.85,5,237,5,No accident,No promotion,marketing,medium,Yes
0.14,0.75,4,277,5,Accident,No promotion,sales,medium,Yes
0.1,0.84,5,303,5,No accident,No promotion,accounting,medium,Yes
0.91,0.98,4,242,6,No accident,No promotion,support,low,Yes
0.37,0.57,2,158,3,No accident,No promotion,technical,low,Yes
0.42,0.57,2,147,3,Accident,No promotion,management,low,Yes
0.39,0.68,2,282,5,No accident,No promotion,marketing,low,Yes
0.39,0.54,2,154,3,No accident,No promotion,marketing,low,Yes
0.44,0.52,2,149,3,No accident,No promotion,marketing,low,Yes
0.37,0.45,2,149,3,No accident,No promotion,sales,low,Yes
0.39,0.53,2,146,3,No accident,No promotion,sales,low,Yes
0.72,0.94,4,258,5,No accident,No promotion,sales,low,Yes
0.37,0.49,2,148,3,No accident,No promotion,sales,low,Yes
0.82,0.94,5,236,5,No accident,No promotion,sales,low,Yes
0.42,0.52,2,134,3,No accident,No promotion,sales,low,Yes
0.59,1,2,155,5,No accident,No promotion,sales,low,Yes
0.82,0.86,5,257,5,No accident,No promotion,sales,low,Yes
0.73,0.97,6,189,2,No accident,No promotion,sales,low,Yes
0.78,0.66,3,164,3,No accident,No promotion,sales,low,Yes
0.09,0.95,6,271,4,No accident,No promotion,sales,low,Yes
0.1,0.97,6,280,4,No accident,No promotion,sales,low,Yes
0.45,0.46,2,149,3,No accident,No promotion,sales,low,Yes
0.83,0.81,5,219,5,No accident,No promotion,sales,low,Yes
0.43,0.51,2,128,3,No accident,No promotion,sales,low,Yes
0.4,0.47,2,128,3,No accident,No promotion,sales,medium,Yes
0.43,0.46,2,157,3,No accident,No promotion,sales,medium,Yes
0.78,0.93,4,225,5,No accident,No promotion,sales,medium,Yes
0.39,0.45,2,140,3,No accident,No promotion,sales,medium,Yes
0.11,0.97,6,310,4,No accident,No promotion,accounting,medium,Yes
0.36,0.52,2,143,3,No accident,No promotion,accounting,medium,Yes
0.36,0.54,2,153,3,No accident,No promotion,accounting,medium,Yes
0.1,0.79,7,310,4,No accident,No promotion,hr,medium,Yes
0.4,0.47,2,136,3,No accident,No promotion,hr,medium,Yes
0.81,0.85,4,251,6,No accident,No promotion,hr,medium,Yes
0.4,0.47,2,144,3,No accident,No promotion,hr,medium,Yes
0.09,0.93,6,296,4,No accident,No promotion,technical,medium,Yes
0.76,0.89,5,238,5,No accident,No promotion,technical,high,Yes
0.73,0.93,5,162,4,No accident,No promotion,technical,low,Yes
0.38,0.49,2,137,3,No accident,No promotion,technical,medium,Yes
0.72,0.84,5,257,5,No accident,No promotion,technical,medium,Yes
0.4,0.56,2,148,3,No accident,No promotion,technical,medium,Yes
0.91,0.99,5,254,5,No accident,No promotion,technical,medium,Yes
0.85,0.85,4,247,6,No accident,No promotion,technical,low,Yes
0.9,0.7,5,206,4,No accident,No promotion,technical,low,Yes
0.46,0.55,2,145,3,No accident,No promotion,technical,low,Yes
0.43,0.57,2,159,3,Accident,No promotion,technical,low,Yes
0.89,0.88,5,228,5,Accident,No promotion,support,low,Yes
0.09,0.81,6,257,4,No accident,No promotion,support,low,Yes
0.4,0.48,2,155,3,No accident,No promotion,support,low,Yes
0.76,0.83,6,293,6,No accident,No promotion,support,low,Yes
0.4,0.57,2,151,3,No accident,No promotion,support,low,Yes
0.37,0.48,2,160,3,No accident,No promotion,support,low,Yes
0.37,0.53,2,143,3,No accident,No promotion,support,low,Yes
0.11,0.96,6,280,4,No accident,No promotion,support,low,Yes
0.37,0.52,2,158,3,No accident,No promotion,support,low,Yes
0.15,0.67,5,249,5,No accident,No promotion,support,high,No
0.45,0.41,3,193,2,Accident,No promotion,sales,low,No
0.53,0.73,5,174,3,No accident,No promotion,accounting,high,No
0.81,0.6,4,179,3,No accident,No promotion,product_mng,medium,No
0.7,0.74,3,253,4,Accident,No promotion,support,low,No
0.85,0.53,4,181,2,No accident,No promotion,accounting,low,No
0.55,0.41,4,132,5,Accident,No promotion,support,medium,No
0.45,0.61,5,179,5,No accident,No promotion,hr,low,No
0.2,0.38,6,212,6,No accident,No promotion,sales,high,No
0.17,0.88,2,206,4,No accident,No promotion,support,medium,No
0.2,0.54,4,149,3,No accident,No promotion,accounting,low,No
0.27,0.42,6,173,7,No accident,No promotion,sales,medium,No
0.6,0.6,4,197,3,No accident,No promotion,management,medium,No
0.48,0.72,3,143,4,No accident,No promotion,sales,medium,No
0.77,0.65,3,156,4,No accident,No promotion,product_mng,medium,No
0.66,0.65,3,234,2,No accident,No promotion,marketing,medium,No
0.68,0.6,2,192,6,No accident,No promotion,support,low,No
0.72,0.9,4,225,2,No accident,No promotion,hr,low,No
0.86,0.95,4,184,3,No accident,No promotion,sales,low,No
0.56,0.64,3,206,2,No accident,No promotion,IT,medium,No
0.78,0.96,3,202,4,Accident,No promotion,marketing,medium,No
0.61,0.97,4,198,2,No accident,No promotion,IT,high,No
0.99,0.94,3,244,3,No accident,No promotion,IT,high,No
0.7,0.96,3,263,3,No accident,No promotion,accounting,medium,No
0.63,0.98,4,265,3,No accident,No promotion,sales,low,No
0.55,0.58,3,254,2,No accident,No promotion,management,high,No
0.83,0.73,4,247,2,No accident,No promotion,support,medium,No
0.75,0.89,6,250,2,No accident,No promotion,marketing,medium,No
0.87,0.93,3,173,2,No accident,No promotion,support,low,No
0.76,0.56,3,255,3,No accident,No promotion,support,medium,No
0.53,0.78,5,275,5,No accident,No promotion,hr,low,No
0.99,0.76,4,204,2,No accident,No promotion,sales,medium,No
0.96,0.6,4,185,3,No accident,No promotion,marketing,medium,No
0.48,0.42,2,275,6,Accident,Promotion,hr,medium,No
0.7,0.68,4,143,5,No accident,No promotion,IT,high,No
0.83,0.67,3,175,3,No accident,No promotion,product_mng,medium,No
0.71,0.55,5,224,3,No accident,No promotion,hr,medium,No
0.91,0.82,3,183,2,No accident,No promotion,sales,medium,No
0.83,0.62,4,218,3,No accident,No promotion,sales,low,No
0.93,0.91,2,238,2,Accident,No promotion,sales,low,No
0.56,0.98,4,207,3,No accident,No promotion,product_mng,medium,No
0.74,0.93,5,140,3,No accident,No promotion,technical,medium,No
0.83,0.59,5,160,4,No accident,No promotion,product_mng,low,No
0.89,0.56,4,225,4,No accident,No promotion,technical,medium,No
0.63,0.59,4,171,4,No accident,No promotion,RandD,low,No
0.6,0.8,4,222,2,No accident,No promotion,sales,medium,No
0.65,0.84,3,154,3,No accident,No promotion,support,high,No
0.65,0.95,3,190,3,No accident,No promotion,technical,low,No
0.15,0.39,5,229,4,No accident,No promotion,sales,low,No
0.55,0.98,3,169,2,No accident,No promotion,support,medium,No
0.66,0.85,6,165,5,No accident,No promotion,product_mng,medium,No
0.85,0.55,4,158,5,No accident,No promotion,technical,medium,No
0.63,0.99,3,247,3,No accident,No promotion,sales,medium,No
0.92,0.65,4,135,3,No accident,No promotion,support,medium,No
0.82,0.73,3,148,4,No accident,No promotion,sales,high,No
0.55,0.71,4,223,3,No accident,No promotion,sales,medium,No
0.66,0.99,3,183,2,No accident,No promotion,technical,medium,No
0.81,0.73,4,272,2,No accident,No promotion,sales,medium,No
0.73,0.99,4,152,4,No accident,No promotion,technical,medium,No
0.71,0.68,3,231,2,Accident,No promotion,product_mng,low,No
0.82,0.89,4,196,3,No accident,Promotion,technical,medium,No
0.55,0.93,4,251,4,Accident,No promotion,RandD,low,No
0.51,0.83,3,136,3,No accident,No promotion,marketing,high,No
0.69,0.63,5,140,4,No accident,Promotion,sales,high,No
0.48,0.57,5,227,3,No accident,No promotion,support,medium,No
0.93,0.82,5,272,3,No accident,No promotion,sales,high,No
0.84,0.99,4,219,2,No accident,No promotion,support,low,No
0.66,0.78,4,161,6,No accident,No promotion,IT,low,No
0.55,0.84,4,200,4,No accident,No promotion,IT,low,No
0.5,0.84,3,156,4,No accident,No promotion,accounting,low,No
0.67,0.39,2,207,7,No accident,No promotion,sales,medium,No
0.82,0.78,5,231,2,Accident,No promotion,IT,low,No
0.69,0.5,3,260,4,No accident,No promotion,sales,medium,No
0.91,0.73,3,155,3,No accident,No promotion,hr,low,No
0.69,0.65,4,136,2,No accident,No promotion,sales,medium,No
0.44,0.63,3,193,3,No accident,No promotion,technical,high,No
0.73,0.87,4,263,2,No accident,No promotion,support,low,No
0.38,0.92,5,238,2,No accident,No promotion,product_mng,low,No
0.88,0.84,4,171,4,Accident,No promotion,support,medium,No
0.86,0.82,4,212,2,No accident,No promotion,product_mng,medium,No
0.92,0.83,4,268,4,No accident,No promotion,sales,low,No
0.14,0.83,5,153,5,Accident,No promotion,sales,medium,No
0.77,0.54,5,252,2,No accident,No promotion,IT,low,No
0.66,0.61,4,263,4,No accident,No promotion,sales,medium,No
0.48,0.55,4,262,3,Accident,No promotion,RandD,high,No
0.6,0.86,6,272,4,No accident,No promotion,technical,low,No
0.34,0.87,4,283,2,No accident,No promotion,sales,high,No
0.57,0.42,4,154,5,No accident,No promotion,RandD,high,No
0.17,0.92,4,189,2,No accident,No promotion,technical,medium,No
0.85,0.79,3,217,2,No accident,No promotion,technical,medium,No
0.26,0.45,2,157,3,No accident,No promotion,accounting,medium,No
0.61,0.99,4,251,2,No accident,No promotion,IT,low,No
0.66,0.59,3,145,3,No accident,No promotion,hr,medium,No
0.83,0.72,4,161,3,No accident,No promotion,hr,low,No
0.75,0.76,3,269,2,Accident,No promotion,technical,medium,No
0.53,0.64,3,143,2,No accident,No promotion,sales,low,No
0.96,0.77,3,193,3,No accident,No promotion,technical,medium,No
0.59,0.59,3,173,3,No accident,No promotion,IT,low,No
0.29,0.43,6,175,3,No accident,No promotion,sales,low,No
0.6,0.96,4,220,3,Accident,Promotion,sales,medium,No
0.53,0.76,2,204,4,No accident,No promotion,hr,high,No
0.53,0.83,4,249,3,Accident,No promotion,technical,low,No
0.99,0.56,3,193,3,Accident,No promotion,technical,medium,No
0.22,0.91,6,222,8,No accident,No promotion,technical,low,No
0.43,0.92,5,151,4,No accident,No promotion,technical,low,No
0.89,0.84,6,196,4,No accident,No promotion,sales,medium,No
0.62,0.73,3,245,4,No accident,No promotion,IT,low,No
0.21,0.61,3,173,2,No accident,No promotion,RandD,low,No
0.92,0.67,4,241,3,No accident,No promotion,technical,high,No
0.64,0.9,5,266,3,No accident,No promotion,support,low,No
0.9,1,4,218,2,No accident,No promotion,marketing,low,No
0.54,0.76,4,244,2,No accident,No promotion,support,medium,No
0.68,0.8,2,257,2,Accident,No promotion,sales,low,No
0.49,0.71,3,154,2,No accident,No promotion,sales,medium,No
0.76,0.49,3,138,2,Accident,No promotion,technical,medium,No
0.62,0.87,4,221,3,Accident,No promotion,support,low,No
0.17,0.66,6,174,3,No accident,No promotion,sales,medium,No
0.95,0.94,2,269,4,Accident,No promotion,sales,low,No
0.88,0.65,3,268,2,No accident,No promotion,support,high,No
0.52,0.64,5,258,2,No accident,No promotion,support,medium,No
0.55,0.61,3,209,3,No accident,No promotion,technical,low,No
0.56,0.9,4,115,3,No accident,No promotion,technical,medium,No
0.64,0.9,5,266,3,No accident,No promotion,support,low,No
0.96,0.69,4,156,5,No accident,No promotion,support,high,No
0.66,0.48,3,203,4,Accident,No promotion,management,low,No
0.74,0.97,3,239,4,Accident,No promotion,sales,medium,No
0.55,0.99,3,158,3,No accident,No promotion,sales,low,No
0.93,0.94,4,233,6,No accident,No promotion,IT,medium,No
0.55,0.87,3,201,2,No accident,No promotion,technical,medium,No
0.92,0.62,3,199,2,No accident,No promotion,IT,medium,No
0.33,0.97,5,130,4,No accident,No promotion,management,high,No
0.61,0.96,3,247,3,No accident,No promotion,support,low,No
0.85,0.62,2,280,4,No accident,No promotion,RandD,low,No
0.92,0.93,4,225,2,No accident,Promotion,RandD,medium,No
0.87,0.76,5,182,3,No accident,No promotion,RandD,medium,No
0.73,0.48,4,139,2,No accident,No promotion,RandD,low,No
0.85,1,3,255,3,No accident,No promotion,sales,medium,No
0.6,0.56,4,260,3,No accident,No promotion,marketing,high,No
0.97,0.74,4,209,2,No accident,No promotion,sales,low,No
0.22,0.44,3,166,6,No accident,No promotion,hr,low,No
1,0.56,5,247,3,No accident,No promotion,technical,low,No
0.55,0.76,4,233,4,No accident,No promotion,IT,low,No
0.87,0.82,3,224,3,No accident,No promotion,technical,low,No
0.82,0.37,2,280,3,No accident,No promotion,accounting,medium,No
0.99,0.94,5,221,2,No accident,No promotion,sales,medium,No
0.81,0.55,3,199,2,Accident,No promotion,IT,medium,No
0.84,0.56,3,266,3,No accident,No promotion,hr,high,No
1,0.61,5,264,3,No accident,No promotion,RandD,medium,No
0.82,0.59,5,143,2,Accident,No promotion,technical,high,No
0.71,0.92,4,248,3,Accident,No promotion,sales,low,No
0.99,0.67,3,200,2,No accident,No promotion,technical,low,No
0.21,0.9,2,239,2,No accident,No promotion,technical,low,No
0.82,0.92,4,196,3,No accident,No promotion,sales,medium,No
0.26,0.85,6,152,4,No accident,No promotion,support,medium,No
0.98,0.99,3,253,4,No accident,No promotion,sales,medium,No
0.65,0.86,4,256,2,No accident,No promotion,support,medium,No
1,0.89,3,230,3,Accident,No promotion,technical,low,No
0.77,0.87,4,209,3,No accident,No promotion,technical,medium,No
0.53,0.94,4,202,3,Accident,No promotion,sales,low,No
0.91,0.6,4,133,4,Accident,No promotion,sales,medium,No
0.16,0.7,3,178,3,Accident,No promotion,technical,low,No
0.69,0.87,5,174,3,No accident,No promotion,support,medium,No
0.49,0.83,3,172,2,No accident,No promotion,sales,medium,No
0.66,0.98,4,225,2,Accident,No promotion,hr,medium,No
0.92,0.53,3,253,3,No accident,No promotion,support,low,No
0.68,0.44,5,152,5,No accident,No promotion,support,low,No
0.94,0.61,3,140,2,No accident,No promotion,support,medium,No
0.24,0.5,4,232,3,No accident,Promotion,accounting,high,No
0.15,0.93,4,185,5,No accident,No promotion,hr,low,No
0.67,0.58,3,246,3,No accident,No promotion,technical,medium,No
0.91,0.65,5,214,3,Accident,No promotion,marketing,low,No
0.52,0.55,5,174,3,Accident,No promotion,sales,medium,No
0.75,0.7,5,269,3,No accident,No promotion,support,medium,No
0.78,0.98,5,158,2,No accident,No promotion,marketing,medium,No
0.27,0.47,5,217,6,No accident,No promotion,accounting,medium,No
0.31,0.63,3,150,3,Accident,No promotion,sales,medium,No
0.59,0.94,5,157,7,Accident,No promotion,management,medium,No
0.57,0.46,2,100,6,Accident,Promotion,marketing,medium,No
0.2,0.98,3,180,6,No accident,No promotion,sales,medium,No
0.63,0.71,5,141,2,No accident,No promotion,RandD,medium,No
0.55,0.43,3,120,6,Accident,No promotion,accounting,medium,No
0.92,0.53,2,249,2,No accident,No promotion,IT,high,No
0.84,0.59,4,216,2,No accident,No promotion,support,low,No
0.49,0.49,3,104,7,No accident,No promotion,product_mng,high,No
0.75,0.56,2,212,2,No accident,No promotion,technical,medium,No
0.54,0.61,4,118,5,No accident,No promotion,support,low,No
0.88,0.61,4,177,4,Accident,No promotion,support,low,No
0.63,0.86,6,206,6,No accident,No promotion,technical,medium,No
0.56,0.68,4,159,3,No accident,No promotion,sales,low,No
0.54,0.73,2,100,3,No accident,No promotion,IT,low,No
0.87,0.42,5,252,5,No accident,No promotion,sales,low,No
0.88,0.88,3,153,3,No accident,No promotion,technical,low,No
0.48,0.63,3,180,2,Accident,No promotion,technical,low,No
0.89,0.89,3,138,2,No accident,No promotion,RandD,medium,No
0.66,0.51,3,192,3,No accident,No promotion,technical,low,No
0.49,0.4,2,148,2,Accident,Promotion,management,high,No
0.37,0.49,3,177,3,No accident,No promotion,marketing,high,No
0.75,0.94,5,217,2,No accident,No promotion,support,medium,No
0.85,0.6,3,182,3,No accident,No promotion,IT,medium,No
0.29,0.77,3,152,3,Accident,No promotion,technical,low,No
0.61,0.72,4,209,2,No accident,No promotion,support,medium,No
0.62,0.64,3,165,3,No accident,No promotion,IT,high,No
0.21,0.82,4,207,5,No accident,No promotion,technical,high,No
0.96,0.51,5,152,3,No accident,No promotion,support,medium,No
0.56,0.39,3,106,8,No accident,No promotion,management,high,No
0.58,0.59,3,207,7,No accident,Promotion,management,medium,No
0.16,0.61,6,269,2,No accident,No promotion,accounting,high,No
0.29,0.68,4,210,3,No accident,No promotion,support,low,No
0.96,0.68,3,206,3,No accident,No promotion,sales,medium,No
0.51,0.51,4,189,3,No accident,No promotion,support,low,No
0.98,0.67,4,189,4,No accident,No promotion,support,high,No
0.54,0.49,4,190,3,No accident,No promotion,technical,medium,No
0.31,0.63,4,104,7,Accident,No promotion,sales,medium,No
0.83,0.87,5,248,3,No accident,No promotion,sales,low,No
0.28,0.97,4,102,3,No accident,No promotion,IT,high,No
0.36,0.77,4,252,2,No accident,No promotion,management,medium,No
0.24,0.83,3,208,5,No accident,No promotion,sales,low,No
0.8,0.94,4,136,2,No accident,No promotion,hr,medium,No
0.5,0.73,4,237,2,No accident,No promotion,support,medium,No
0.64,0.71,3,181,2,No accident,No promotion,technical,low,No
0.89,0.7,4,235,2,Accident,No promotion,accounting,high,No
0.48,0.86,5,198,4,No accident,No promotion,technical,low,No
0.91,0.89,2,219,4,No accident,No promotion,technical,low,No
0.98,0.59,4,149,2,No accident,No promotion,hr,medium,No
0.37,0.72,3,183,2,No accident,No promotion,sales,low,No
0.78,0.89,4,137,3,No accident,No promotion,IT,medium,No
0.96,0.78,3,209,2,No accident,No promotion,product_mng,high,No
0.88,0.89,4,135,3,No accident,No promotion,IT,medium,No
0.85,0.87,4,152,7,No accident,No promotion,sales,low,No
0.51,0.79,5,222,2,No accident,No promotion,technical,low,No
0.65,0.67,3,240,2,Accident,No promotion,technical,low,No
0.74,1,4,242,2,No accident,No promotion,management,low,No
0.88,0.51,4,139,3,No accident,No promotion,sales,low,No
0.72,0.66,4,184,3,No accident,No promotion,management,high,No
0.87,0.55,4,197,3,No accident,No promotion,technical,high,No
0.6,0.5,3,211,3,No accident,No promotion,technical,medium,No
0.91,0.56,3,168,2,No accident,No promotion,support,medium,No
0.22,0.49,4,218,4,No accident,No promotion,marketing,low,No
0.16,0.54,5,206,5,No accident,No promotion,sales,medium,No
0.61,0.89,3,201,2,No accident,No promotion,technical,low,No
0.95,0.57,2,263,3,No accident,No promotion,marketing,low,No
0.84,0.86,3,199,3,No accident,No promotion,IT,medium,No
0.5,0.54,2,269,2,Accident,No promotion,sales,medium,No
0.16,0.93,5,210,7,No accident,Promotion,management,medium,No
0.66,0.8,4,252,3,No accident,No promotion,IT,medium,No
0.72,0.7,4,172,3,No accident,No promotion,IT,medium,No
0.84,0.89,4,187,2,Accident,No promotion,IT,low,No
0.5,0.65,3,215,2,No accident,No promotion,technical,low,No
0.48,0.9,4,208,3,No accident,No promotion,sales,low,No
0.19,0.94,4,196,5,No accident,No promotion,technical,low,No
0.91,0.62,4,158,3,Accident,No promotion,sales,medium,No
0.83,0.61,5,257,2,No accident,No promotion,hr,low,No
0.86,0.79,3,106,6,Accident,No promotion,sales,medium,No
0.51,0.55,4,267,3,No accident,No promotion,technical,medium,No
0.76,0.77,4,169,10,No accident,No promotion,management,medium,No
0.89,0.65,4,184,3,No accident,No promotion,support,low,No
0.65,0.85,4,201,10,No accident,No promotion,support,low,No
0.75,0.93,4,195,3,No accident,No promotion,sales,medium,No
0.34,0.46,3,155,10,No accident,No promotion,product_mng,medium,No
0.59,0.83,3,156,2,No accident,No promotion,sales,medium,No
0.83,0.6,4,161,2,No accident,No promotion,management,high,No
0.82,0.66,4,150,3,No accident,No promotion,technical,low,No
0.57,0.85,4,250,3,Accident,Promotion,marketing,low,No
0.39,0.75,6,185,3,No accident,Promotion,management,high,No
0.33,0.77,3,216,3,No accident,No promotion,RandD,high,No
0.8,0.9,4,136,3,No accident,No promotion,technical,low,No
0.7,0.83,4,182,3,No accident,No promotion,support,medium,No
0.99,0.54,4,196,4,Accident,No promotion,hr,high,No
0.86,0.68,2,192,3,No accident,No promotion,product_mng,high,No
1,0.73,5,142,4,No accident,No promotion,IT,medium,No
0.5,0.48,3,246,3,No accident,No promotion,RandD,medium,No
0.78,0.55,3,143,3,No accident,No promotion,RandD,low,No
0.51,0.41,2,164,4,No accident,No promotion,sales,medium,No
0.71,0.8,3,182,2,Accident,No promotion,technical,low,No
0.32,0.77,6,112,4,No accident,No promotion,IT,medium,No
0.7,0.9,4,216,3,No accident,No promotion,support,low,No
0.18,0.84,4,231,5,No accident,No promotion,sales,low,No
0.95,0.48,5,214,6,Accident,Promotion,sales,medium,No
0.34,0.63,5,248,3,No accident,No promotion,sales,low,No
0.15,0.97,3,198,5,No accident,No promotion,management,medium,No
0.93,0.97,5,255,4,No accident,No promotion,support,medium,No
0.49,0.92,5,176,3,No accident,No promotion,marketing,low,No
0.84,0.75,4,135,3,No accident,Promotion,RandD,medium,No
0.78,0.57,4,157,3,No accident,No promotion,accounting,low,No
0.74,0.76,3,224,2,No accident,No promotion,hr,low,No
0.73,0.78,4,181,4,No accident,No promotion,IT,low,No
0.87,0.93,4,199,3,No accident,No promotion,technical,low,No
0.79,0.56,3,149,10,No accident,No promotion,product_mng,low,No
0.16,0.87,5,163,3,No accident,No promotion,management,medium,No
0.75,0.55,5,281,3,Accident,No promotion,sales,low,No
0.16,0.68,5,149,7,Accident,No promotion,sales,medium,No
0.88,0.67,5,264,3,No accident,No promotion,product_mng,medium,No
0.82,0.63,3,246,3,No accident,No promotion,management,medium,No
0.87,0.94,4,256,2,No accident,No promotion,support,medium,No
0.74,0.85,2,189,3,No accident,No promotion,support,low,No
0.6,0.88,4,175,3,No accident,No promotion,support,low,No
0.81,0.75,5,170,3,Accident,No promotion,product_mng,medium,No
0.5,0.95,3,198,4,No accident,No promotion,accounting,low,No
0.3,0.53,3,210,6,No accident,No promotion,marketing,medium,No
0.75,0.55,3,253,6,No accident,No promotion,IT,medium,No
0.65,0.97,4,145,2,No accident,No promotion,technical,medium,No
0.71,0.66,5,187,2,No accident,No promotion,sales,medium,No
0.57,0.54,3,140,3,No accident,No promotion,marketing,low,No
0.8,0.6,3,212,3,No accident,No promotion,sales,high,No
0.7,0.49,4,173,3,No accident,No promotion,sales,medium,No
0.42,0.47,6,174,5,No accident,No promotion,technical,low,No
0.87,0.48,4,264,3,No accident,No promotion,IT,medium,No
0.76,0.74,3,173,2,No accident,No promotion,sales,low,No
0.61,0.74,3,160,3,No accident,No promotion,marketing,medium,No
0.88,0.55,5,168,2,No accident,No promotion,product_mng,medium,No
0.4,0.64,3,188,3,No accident,No promotion,support,low,No
0.89,0.86,4,153,3,No accident,No promotion,accounting,low,No
0.89,0.77,4,269,4,No accident,No promotion,sales,medium,No
0.62,0.51,3,222,3,Accident,No promotion,technical,medium,No
0.79,0.89,3,252,2,No accident,No promotion,hr,medium,No
0.95,0.86,2,263,4,No accident,No promotion,sales,medium,No
0.54,0.58,3,234,3,No accident,No promotion,sales,medium,No
0.94,0.62,4,191,3,No accident,No promotion,support,low,No
0.54,0.93,5,189,2,No accident,No promotion,support,medium,No
0.75,0.53,3,154,2,No accident,No promotion,sales,medium,No
0.98,0.53,4,192,2,Accident,No promotion,sales,low,No
0.84,0.66,3,114,6,Accident,No promotion,management,low,No
0.62,0.72,3,149,3,Accident,No promotion,marketing,medium,No
0.21,0.55,4,189,2,No accident,No promotion,technical,low,No
0.62,0.5,4,156,2,No accident,No promotion,support,medium,No
0.6,0.61,5,191,2,Accident,No promotion,technical,high,No
0.92,1,4,261,4,No accident,No promotion,sales,medium,No
0.76,0.85,4,135,3,No accident,No promotion,accounting,medium,No
0.21,0.71,4,270,2,No accident,No promotion,sales,high,No
0.66,0.96,3,175,2,No accident,No promotion,sales,low,No
0.61,0.9,2,142,3,No accident,No promotion,marketing,high,No
0.81,0.52,3,255,5,No accident,No promotion,IT,medium,No
0.49,0.91,4,134,4,No accident,No promotion,accounting,low,No
0.6,0.81,4,245,3,Accident,No promotion,support,medium,No
0.87,0.68,4,246,2,No accident,No promotion,support,medium,No
0.95,0.83,4,252,2,No accident,No promotion,sales,high,No
0.8,0.62,3,191,3,No accident,No promotion,support,medium,No
0.65,0.75,3,194,4,Accident,No promotion,sales,low,No
0.64,0.64,3,192,3,Accident,No promotion,accounting,medium,No
0.78,0.92,3,169,3,No accident,No promotion,sales,high,No
0.21,0.77,6,215,4,No accident,No promotion,sales,medium,No
0.18,0.51,6,227,2,No accident,No promotion,support,low,No
0.67,0.93,3,206,3,No accident,No promotion,RandD,low,No
0.39,0.45,3,100,8,Accident,No promotion,product_mng,medium,No
0.96,0.59,3,241,3,No accident,No promotion,product_mng,low,No
0.73,1,2,229,3,No accident,No promotion,marketing,medium,No
0.58,0.67,5,265,3,No accident,No promotion,support,medium,No
0.56,0.71,3,211,6,No accident,Promotion,marketing,low,No
0.77,0.62,5,190,3,No accident,No promotion,RandD,low,No
0.96,0.72,4,228,2,No accident,No promotion,accounting,high,No
0.86,0.74,4,261,2,No accident,No promotion,IT,medium,No
0.49,0.73,4,185,3,No accident,No promotion,sales,low,No
0.32,0.97,6,272,2,No accident,No promotion,sales,low,No
0.21,0.37,4,129,4,No accident,No promotion,product_mng,medium,No
0.96,0.61,3,140,3,No accident,No promotion,marketing,low,No
0.58,0.98,5,218,3,No accident,No promotion,RandD,low,No
